Date,1-1,1-2,1-3,1-4,1-5,2-1,2-2,2-3,2-4,2-5,3-1,3-2,3-3,3-4,3-5,4-1,4-2,4-3,4-4,4-5,5-1,5-2,5-3,5-4,5-5,6-1,6-2,6-3,6-4,6-5,12-1,12-2,12-3,16-1,16-2,16-3,16-4,16-5,18-1,18-2,18-3,18-4,18-5,19-1,19-2,19-3,19-4,19-5,20-1,20-2,20-3,20-4,20-5,21-1,21-2,21-3,21-4,21-5,7-1,7-2,7-3,7-4,7-5,8-1,8-2,8-3,8-4,8-5,9-1,9-2,9-3,9-4,9-5,10-1,10-2,10-3,10-4,10-5,11-1,11-2,11-3,11-4,11-5,14-1,14-2,14-3,14-4,14-5
2022-09-09,32.0,39.0,-14.0,6.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,24.0,35.0,13.0,12.0,14.0,14.0,9.0,40.0,33.0,-30.0,-10.0,-20.0,34.0,36.0,22.0,34.0,21.0,27.0,36.0,23.0,18.0,20.0,12.0,-1.0,-15.0,7.0,-30.0,,,,,,,,,,,,,,,,-42.0,-34.0,-43.0,-31.0,-28.0,-4.0,-30.0,-21.0,-13.0,-10.0,-36.0,-31.0,-29.0,-53.0,-38.0
2022-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,-17.0,3.0,0.0,7.0,18.0,-1.0,8.0,13.0,20.0,,,,,,,,,,,,,,,,-39.0,-32.0,-29.0,-54.0,-37.0
2022-09-11,31.0,41.0,-11.0,7.2,30.0,,,,,,,,,,,-9.0,-8.0,-6.0,-1.0,-7.0,,,,,,-9.0,-8.0,-11.0,-7.0,-2.0,,,,,,,,,,,,,,35.0,26.0,25.0,35.0,23.0,31.0,39.0,32.0,31.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,30.0,40.0,,,,,,43.0,35.0,-20.0,-2.0,-16.0,,,,,,,,,,,15.0,3.0,-10.0,11.0,-28.0,,,,,,,,,,,,,,,,,,,,,,,,,,-35.0,-29.0,-25.0,-50.0,-36.0
2022-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,-3.0,17.0,9.0,24.0,28.0,9.0,15.0,24.0,22.0,-25.0,-41.0,-38.0,-36.0,-39.0,,,,,,,,,,,-25.0,-19.0,-15.0,-39.0,-27.0
2022-09-14,29.0,23.0,-13.0,-9.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,24.0,33.0,21.0,27.0,38.0,44.0,33.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.0,0.0,2.0,-10.0,-7.0
2022-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.0,-28.0,-40.0,-29.0,-29.0,31.0,-17.0,-25.0,-6.0,0.0,,,,,
2022-09-16,27.0,34.0,-19.3,1.0,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,35.0,40.0,,,,,,29.0,20.0,-25.0,2.0,-11.0,35.0,34.0,40.0,38.0,34.0,32.0,38.0,24.0,29.0,23.0,19.0,5.0,-14.0,4.0,-12.0,,,,,,,,,,,,,,,,,,,,,,,,,,-22.0,-15.0,-12.0,-34.0,-15.0
2022-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,-15.0,7.0,2.0,9.0,40.0,20.0,25.0,31.0,30.0,,,,,,,,,,,,,,,,-25.0,-19.0,-15.0,-36.0,-13.0
2022-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,34.0,37.0,22.0,20.0,21.0,20.0,25.0,32.0,22.0,-23.0,5.0,-10.0,,,,,,,,,,,18.0,5.0,-23.0,2.0,-13.0,,,,,,,,,,,-27.0,-45.0,-81.0,-65.0,-38.0,0.0,-9.0,-29.0,-18.0,-22.0,,,,,,-24.0,-17.0,-11.0,-30.0,-11.0
2022-09-19,,,,,,,,,,,,,,,,4.0,6.0,10.0,12.0,8.0,,,,,,16.0,16.0,12.0,17.0,21.0,,,,,,,,,,,,,,29.0,29.0,17.0,27.0,17.0,33.0,43.0,35.0,25.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,58.0,62.0,,,,,,29.0,21.0,-23.0,3.0,-11.0,,,,,,,,,,,17.0,3.0,-21.0,-3.0,-14.0,1.0,-18.0,6.0,-1.0,5.0,,,,,,-24.0,-45.0,-83.0,-85.0,-43.0,,,,,,,,,,,-19.0,-12.0,-9.0,-25.0,3.0
2022-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,-3.0,-14.0,-5.0,-2.0,38.0,-9.0,-24.0,-10.0,-6.0,,,,,
2022-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,38.0,41.0,46.0,45.0,-16.0,-37.0,-72.0,-74.0,-33.0,,,,,,,,,,,,,,,
2022-09-23,16.0,18.0,-31.0,-8.0,9.0,,,,,,,,,,,,,,,,35.0,29.0,16.0,13.0,21.0,28.0,27.0,24.0,29.0,33.0,25.0,35.0,42.0,,,,,,27.0,20.0,-40.0,-15.0,-16.0,35.0,34.0,42.0,33.0,34.0,32.0,36.0,30.0,31.0,17.0,15.0,1.0,-13.0,-10.0,-28.0,,,,,,,,,,,,,,,,,,,,,,,,,,-8.0,0.0,4.0,-16.0,10.0
2022-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,-14.0,8.0,-15.0,-10.0,58.0,41.0,33.0,32.0,9.0,,,,,,,,,,,,,,,,-3.0,3.0,7.0,-14.0,5.0
2022-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,38.0,44.0,,,,,,61.0,53.0,-9.0,20.0,10.0,30.0,29.0,14.0,30.0,31.0,34.0,43.0,37.0,36.0,28.0,22.0,8.0,-20.0,3.0,-12.0,,,,,,,,,,,6.0,-11.0,-18.0,-23.0,-12.0,26.0,9.0,7.0,-1.0,4.0,,,,,,10.0,16.0,17.0,0.0,11.0
2022-09-26,,,,,,,,,,,,,,,,27.0,26.0,24.0,26.0,23.0,,,,,,38.0,37.0,34.0,31.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.0,12.0,-9.0,17.0
2022-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,37.0,42.0,10.0,13.0,16.0,10.0,11.0,42.0,45.0,-5.0,22.0,10.0,,,,,,,,,,,19.0,5.0,-22.0,2.0,-13.0,,,,,,,,,,,,,,,,27.0,8.0,-4.0,2.0,5.0,51.0,3.0,-11.0,2.0,6.0,-6.0,0.0,5.0,-15.0,2.0
2022-09-28,,,,,,-42.0,-39.0,-34.0,-28.0,-32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.0,-4.0,0.0,-22.0,22.0
2022-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,35.0,-16.0,,,,,,36.0,0.0,-34.0,-23.0,27.0,38.0,27.0,36.0,34.0,38.0,45.0,48.0,41.0,36.0,17.0,3.0,11.0,-11.0,3.0,-35.0,,,,,,,,,,,,,,,,22.0,-12.0,-3.0,0.0,47.0,0.0,-14.0,-1.0,3.0,18.0,-10.0,-6.0,-28.0,-6.0,45.0
2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.0,6.0,7.0,10.0,45.0,37.0,35.0,15.0,22.0,-20.0,,,,,,,,,,,,,,,,-13.0,-9.0,-31.0,-9.0,2.0
2022-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,35.0,-24.0,,,,,,25.0,-5.0,-39.0,-24.0,6.0,,,,,,,,,,,2.0,13.0,-14.0,1.0,-11.0,,,,,,,,,,,-17.0,-26.0,-28.0,-15.0,19.0,0.0,-12.0,-7.0,-3.0,17.0,,,,,,-18.0,-14.0,-36.0,-15.0,35.0
2022-10-02,,,,,,,,,,,,,,,,20.0,19.0,21.0,18.0,34.0,,,,,,33.0,23.0,19.0,24.0,-24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.0,-14.0,-36.0,-15.0,11.0
2022-10-03,,,,,,,,,,,-3.0,3.0,-8.0,8.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
